Pathway Name	Organism	Gene Ontology	Url to WikiPathways	Last Changed	Last Revision	Author	Count	Entrez	Ensembl	SwissProt	UniGene	RefSeq	MOD	PubChem	CAS	ChEBI
Statin Pathway(PharmGKB)	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP1	20090327053054	29016	Nsalomonis, MaintBot, Khanspers, BruceConklin, TestUser, AlexanderPico	20	15357,13122,20652,17777,13350,16835,16971,16956,15450,Cetp,16816,11303,18830,11806,11808,11812,11816,11813,11814,20778								
IL-9 Signaling Pathway	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP10	20081114112937	20693	A.Pandey, MaintBot	24	16198,16199,16186,16367,,384783,14784,81601,20848,16451,269523,16453,26396,26413,26417,26395,20416,20846,20850,20851,11651,19247,54721,12702								
Glutathione metabolism	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP100	20081114113015	20893	169.230.76.4, MaintBot, Thomas	56	290,2678,2878,2539,3417,2936,2937,2729,26873,2876,2877,2879,221357,2938,2944,2952,2953,2946,2687,2730						8030		
Synthesis and Degradation of Ketone Bodies	Drosophila melanogaster		http://www.wikipathways.org/index.php/Pathway:WP101	20081114113015	20895	N.Reyes, MaintBot	4	31695, ,33978,38261								
Heme Biosynthesis	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP102	20090609110936	29882	Kdahlquist, MaintBot, Thomas	14		YDR232W,YGL040C,YDL205C,YOR278W,YDR047W,YDR044W,YER014W,YOR176W						487-90-1,73023-76-4,1976-85-8,2624-63-7,553-12-8,14875-96-8	
Cholesterol Biosynthesis	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP103	20081114113015	20899	M.Lieberman, MaintBot, N.Mantei	15	208715,15357,17855,68603,192156,20775,13360,319554,110196,16987,14137,13121,66234,18194,235293								
Alanine and aspartate metabolism	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP104	20081114113016	20901	L.M.Ferrante, MaintBot	40	25104,81632,24380,116483,81670,24792,ASS,59085,25721,79251,24379,24401								
Fatty Acid Beta Oxidation 2	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP105	20081114113016	20903	Nsalomonis, MaintBot, Evelo, C.Redfern	6	24158,140547,113965,170670,171155,64304								
Alanine and aspartate metabolism	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP106	20081114113016	20905	L.M.Ferrante, MaintBot, Khanspers	46	5091,18,2572,1615,2875,189,445,435,2806,443,2571,2805							3040-38-8,72-89-9,305-84-0,6912-68-1,70-47-3,617-48-1	
Translation Factors	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP107	20090602205616	29787	Kdahlquist, MaintBot, MartijnVanIersel, Khanspers	50	1967,8892,8891,8890,8893,9451,5610,8669,8668,8667,8666,8665,3646,8664,8663,1973,1974,1975,7458,1977,10209,10605,1978,1979,8637,1917,1933,1936,1937,1938,2107,23708,26986,1981,8672,1965,8894,1968,9669,9086,1964,23277,8661,8662,27102,1983,1984,29904,3692,1915								
